0.09375,-0.40625,-0.89063,0.1398,-0.059555,0.83207,-0.095874,0.08096,0.77019
0.015625,0.92188,-0.21875,-0.35335,-0.61879,0.4538,0.054328,0.23649,-0.063916
-0.42188,0.85938,-0.28125,-0.0034831,-0.74618,0.39252,-0.16938,-0.54115,0.72971
-0.64063,0.46875,-0.28125,0.2016,-0.64707,0.16957,0.41013,-0.21305,-0.38989
0.078125,-0.375,-0.875,0.13971,-0.065806,0.82962,-0.1534,0.21199,0.72331
-0,0.95313,-0.21875,-0.3617,-0.62291,0.45112,0.043676,0.26206,-0.055394
-0.42188,0.82813,-0.3125,-0.001323,-0.73795,0.39261,0.08096,-0.59548,0.78084
-0.625,0.51563,-0.26563,0.20357,-0.6435,0.17582,0.16938,-0.16405,-0.39947
0.15625,-0.29688,-0.82813,0.13334,-0.065836,0.83434,-0.20133,0.27697,0.73184
0.015625,0.90625,-0.21875,-0.35949,-0.61886,0.45612,0.059655,0.27058,-0.018109
-0.39063,0.73438,-0.35938,-0.01589,-0.73593,0.40217,0.36539,-0.56672,0.7883
-0.625,0.625,-0.23438,0.21096,-0.63459,0.176,-0.027697,-0.11931,-0.36645
0.28125,-0.26563,-0.82813,0.12921,-0.0845,0.85592,0.024501,0.024501,0.75953
0.046875,0.95313,-0.25,-0.35546,-0.62284,0.45374,0.019175,0.20133,-0.0053263
-0.375,0.64063,-0.34375,-0.020074,-0.738,0.40453,0.32491,-0.47617,0.77551
0.125,-0.32813,-0.82813,0.12916,-0.086591,0.85349,0.21092,-0.45806,0.8096
0.0625,0.92188,-0.1875,-0.35944,-0.62287,0.46105,-0.055394,0.16299,-0.036219
-0.34375,0.64063,-0.32813,-0.032762,-0.74424,0.40423,-0.095874,-0.41652,0.72971
-0.03125,-0.45313,-0.89063,0.13997,-0.082336,0.8561,0.23116,-0.57524,0.79469
0.03125,0.9375,-0.21875,-0.3576,-0.62488,0.45122,0.02024,0.1012,-0.068177
-0.29688,0.79688,-0.3125,-0.034839,-0.74629,0.40663,-0.56672,-0.44635,0.67857
-0.14063,-0.4375,-0.95313,0.15072,-0.080171,0.85629,0.088417,-0.46126,0.65514
0.015625,0.89063,-0.23438,-0.3574,-0.62084,0.45863,0.022371,0.061785,-0.07883
-0.34375,1.0156,-0.25,-0.045804,-0.75058,0.38421,-0.67112,-0.57418,0.64129
0.09375,-0.28125,-0.92188,0.14655,-0.082245,0.86587,-0.21092,0.2514,0.51452
0.015625,0.92188,-0.21875,-0.36378,-0.62495,0.45107,-0.012783,0.061785,-0.062851
-0.375,0.9375,-0.3125,-0.049945,-0.75264,0.38904,-0.062851,-0.60507,0.67857
0.21875,-0.25,-0.84375,0.14432,-0.096813,0.86818,-0.22797,0.45274,0.53476
0.015625,0.89063,-0.23438,-0.36378,-0.62495,0.45107,-0.049002,0.052198,-0.045806
-0.375,0.79688,-0.32813,-0.064506,-0.75677,0.40102,0.23329,-0.51985,0.69136
0.21875,-0.29688,-0.82813,0.14423,-0.098913,0.86334,-0.0053263,0.084156,0.59655
0.03125,0.9375,-0.21875,-0.36386,-0.62294,0.44613,-0.08096,0.03835,0.011718
-0.29688,0.78125,-0.32813,-0.066575,-0.75062,0.40101,0.071373,-0.46978,0.64875
0.1875,-0.29688,-0.79688,0.15078,-0.094682,0.86829,0.063916,-0.24714,0.65833
0.015625,0.96875,-0.1875,-0.35335,-0.62281,0.45626,-0.11079,0.036219,0.024501
-0.3125,0.78125,-0.32813,-0.068709,-0.75474,0.40094,-0.21518,-0.49428,0.55713
-0,-0.375,-0.92188,0.16145,-0.090467,0.86124,0.13529,-0.54328,0.62957
